run_id,method,reward_mode,sampling_strategy,epsilon_start,score_mode,checkpoint,source_log_path,summary_log,recommend_log_dir,status,table_count,total_recommendations,unique_recommendations,unique_recommendation_rate,chart_type_count,chart_type_entropy,chart_type_distribution,avg_recommendations_per_table,avg_unique_recommendations_per_table,notes
20260425T182100Z,updated_policy,baseline,epsilon_top_m,0.05,,Results/Models/20260425104442-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260425104442-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps005-top5-20260425/[test-summary]20260425T1821.log,Results/Models/20260425104442-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260425T182100Z_updated_policy_epsilon_top_m_0.05-20260427T093539Z/[test-summary]20260427T1735.log,experiments/results/recommendations/20260425T182100Z_updated_policy_epsilon_top_m_0.05-20260427T093539Z,ok,12946,267520,2849,0.010649671052631579,4,1.873309036925851,"{""BarChart"": 77520, ""LineChart"": 108326, ""PieChart"": 42844, ""ScatterChart"": 38830}",20.66429785261857,20.66429785261857,
20260425T182600Z,updated_policy,baseline,epsilon_top_m,0.10,,Results/Models/20260425110039-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260425110039-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps010-top5-20260425/[test-summary]20260425T1826.log,Results/Models/20260425110039-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260425T182600Z_updated_policy_epsilon_top_m_0.10-20260427T093539Z/[test-summary]20260427T1747.log,experiments/results/recommendations/20260425T182600Z_updated_policy_epsilon_top_m_0.10-20260427T093539Z,ok,12946,270443,2831,0.010468009894876184,4,1.8551458412830082,"{""BarChart"": 73754, ""LineChart"": 115670, ""PieChart"": 42788, ""ScatterChart"": 38231}",20.89008187857253,20.89008187857253,
20260425T183200Z,updated_policy,baseline,epsilon_top_m,0.20,,Results/Models/20260425111651-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260425111651-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps020-top5-20260425/[test-summary]20260425T1832.log,Results/Models/20260425111651-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260425T183200Z_updated_policy_epsilon_top_m_0.20-20260427T093539Z/[test-summary]20260427T1758.log,experiments/results/recommendations/20260425T183200Z_updated_policy_epsilon_top_m_0.20-20260427T093539Z,ok,12946,268151,3141,0.01171354945534419,4,1.8615653085573243,"{""BarChart"": 78672, ""LineChart"": 109986, ""PieChart"": 42837, ""ScatterChart"": 36656}",20.71303877645605,20.71303877645605,
20260425T183800Z,updated_policy,baseline,epsilon_top_m,0.30,,Results/Models/20260425113303-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260425113303-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps030-top5-20260425/[test-summary]20260425T1838.log,Results/Models/20260425113303-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260425T183800Z_updated_policy_epsilon_top_m_0.30-20260427T093539Z/[test-summary]20260427T1810.log,experiments/results/recommendations/20260425T183800Z_updated_policy_epsilon_top_m_0.30-20260427T093539Z,ok,12946,263507,3028,0.011491155832672377,4,1.8546467187743656,"{""BarChart"": 73585, ""LineChart"": 111580, ""PieChart"": 42787, ""ScatterChart"": 35555}",20.35431793604202,20.35431793604202,
20260425T233100Z,update_reward,soft_reward,greedy,,,Results/Models/20260425225417-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260425225417-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_conservative_greedy-20260425T145405Z/[test-summary]20260425T2331.log,Results/Models/20260425225417-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260425T233100Z_update_reward_greedy-20260427T093539Z/[test-summary]20260427T1822.log,experiments/results/recommendations/20260425T233100Z_update_reward_greedy-20260427T093539Z,ok,12946,258323,3382,0.013092136588689353,4,1.8881956919248144,"{""BarChart"": 74627, ""LineChart"": 102031, ""PieChart"": 41159, ""ScatterChart"": 40506}",19.953885369998456,19.953885369998456,
20260426T001700Z,update_reward_policy,soft_reward,epsilon_top_m,0.2,,Results/Models/20260425233742-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260425233742-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_conservative_epsilon-20260425T145405Z/[test-summary]20260426T0017.log,Results/Models/20260425233742-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260426T001700Z_update_reward_policy_epsilon_top_m_0.2-20260427T093539Z/[test-summary]20260427T1833.log,experiments/results/recommendations/20260426T001700Z_update_reward_policy_epsilon_top_m_0.2-20260427T093539Z,ok,12946,264290,3793,0.014351659162283854,4,1.8672264801129546,"{""BarChart"": 68866, ""LineChart"": 112668, ""PieChart"": 43095, ""ScatterChart"": 39661}",20.41479993820485,20.41479993820485,
20260426T010400Z,update_reward,soft_reward,greedy,,,Results/Models/20260426002411-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260426002411-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_current_greedy-20260425T145405Z/[test-summary]20260426T0104.log,Results/Models/20260426002411-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260426T010400Z_update_reward_greedy-20260427T093539Z/[test-summary]20260427T1845.log,experiments/results/recommendations/20260426T010400Z_update_reward_greedy-20260427T093539Z,ok,12946,264459,3002,0.01135147603220159,4,1.8802585334687123,"{""BarChart"": 72838, ""LineChart"": 108225, ""PieChart"": 41544, ""ScatterChart"": 41852}",20.42785416344817,20.42785416344817,
20260426T015000Z,update_reward_policy,soft_reward,epsilon_top_m,0.2,,Results/Models/20260426011130-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260426011130-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_current_epsilon-20260425T145405Z/[test-summary]20260426T0150.log,Results/Models/20260426011130-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260426T015000Z_update_reward_policy_epsilon_top_m_0.2-20260427T093539Z/[test-summary]20260427T1857.log,experiments/results/recommendations/20260426T015000Z_update_reward_policy_epsilon_top_m_0.2-20260427T093539Z,ok,12946,261114,3687,0.014120269307658724,4,1.8943462379217246,"{""BarChart"": 71754, ""LineChart"": 104192, ""PieChart"": 42393, ""ScatterChart"": 42775}",20.169473196354087,20.169473196354087,
20260426T023800Z,update_reward,soft_reward,greedy,,,Results/Models/20260426015649-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260426015649-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_aggressive_greedy-20260425T145405Z/[test-summary]20260426T0238.log,Results/Models/20260426015649-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260426T023800Z_update_reward_greedy-20260427T093539Z/[test-summary]20260427T1909.log,experiments/results/recommendations/20260426T023800Z_update_reward_greedy-20260427T093539Z,ok,12946,252960,4391,0.017358475648323844,4,1.8926410860103413,"{""BarChart"": 68841, ""LineChart"": 101640, ""PieChart"": 42078, ""ScatterChart"": 40401}",19.539626139348062,19.539626139348062,
20260426T032500Z,update_reward_policy,soft_reward,epsilon_top_m,0.2,,Results/Models/20260426024531-2el192fd128.128GRUh-allCharts-RL/states_ep0.pt,Results/Models/20260426024531-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_aggressive_epsilon-20260425T145405Z/[test-summary]20260426T0325.log,Results/Models/20260426024531-2el192fd128.128GRUh-allCharts-RL/evaluations/recommendation-20260426T032500Z_update_reward_policy_epsilon_top_m_0.2-20260427T093539Z/[test-summary]20260427T1920.log,experiments/results/recommendations/20260426T032500Z_update_reward_policy_epsilon_top_m_0.2-20260427T093539Z,ok,12946,252388,3012,0.011934006371142844,4,1.9222371081191745,"{""BarChart"": 71722, ""LineChart"": 92742, ""PieChart"": 39438, ""ScatterChart"": 48486}",19.49544260775529,19.49544260775529,
